iter	Passed	Remaining
0	148	148246
1	149	74527
2	150	49862
3	150	37519
4	151	30165
5	152	25241
6	152	21702
7	153	19047
8	154	16983
9	154	15340
10	155	13990
11	156	12871
12	157	11924
13	157	11110
14	158	10410
15	159	9787
16	159	9241
17	160	8756
18	161	8321
19	161	7930
20	162	7575
21	163	7250
22	163	6954
23	164	6693
24	165	6450
25	166	6222
26	166	6011
27	167	5812
28	168	5631
29	168	5457
30	169	5297
31	170	5148
32	170	5006
33	171	4874
34	172	4752
35	173	4635
36	173	4522
37	174	4414
38	175	4313
39	175	4219
40	176	4129
41	177	4045
42	178	3962
43	178	3881
44	179	3802
45	179	3726
46	180	3653
47	180	3583
48	181	3517
49	181	3452
50	182	3391
51	182	3331
52	183	3274
53	183	3218
54	184	3165
55	184	3114
56	185	3065
57	185	3017
58	186	2970
59	186	2925
60	187	2882
61	187	2840
62	188	2799
63	188	2760
64	189	2722
65	189	2685
66	190	2649
67	190	2612
68	191	2579
69	191	2547
70	192	2515
71	192	2484
72	193	2455
73	194	2428
74	194	2401
75	195	2374
76	195	2347
77	196	2321
78	197	2297
79	197	2272
80	198	2247
81	198	2223
82	199	2200
83	199	2178
84	200	2154
85	200	2133
86	201	2110
87	201	2089
88	202	2069
89	202	2049
90	203	2031
91	204	2013
92	204	1995
93	205	1977
94	205	1959
95	206	1941
96	206	1923
97	207	1906
98	207	1889
99	208	1873
100	208	1857
101	208	1839
102	209	1824
103	209	1808
104	210	1793
105	210	1779
106	211	1764
107	211	1750
108	212	1736
109	212	1722
110	213	1709
111	213	1696
112	214	1682
113	214	1670
114	215	1657
115	215	1644
116	216	1632
117	216	1620
118	217	1608
119	217	1598
120	218	1587
121	219	1577
122	219	1564
123	219	1554
124	220	1543
125	221	1533
126	221	1523
127	222	1512
128	222	1502
129	223	1493
130	223	1483
131	224	1474
132	224	1464
133	225	1455
134	225	1446
135	226	1437
136	226	1428
137	227	1419
138	227	1410
139	228	1402
140	228	1393
141	229	1385
142	229	1376
143	230	1368
144	230	1360
145	231	1354
146	232	1346
147	232	1338
148	233	1331
149	233	1323
150	234	1315
151	234	1308
152	235	1301
153	235	1293
154	236	1286
155	236	1279
156	237	1272
157	237	1265
158	237	1258
159	238	1252
160	238	1245
161	239	1238
162	239	1232
163	240	1225
164	240	1219
165	241	1213
166	241	1206
167	242	1200
168	242	1194
169	243	1188
170	243	1182
171	244	1177
172	245	1171
173	245	1166
174	246	1161
175	246	1156
176	247	1150
177	247	1145
178	248	1139
179	248	1134
180	249	1127
181	249	1122
182	250	1117
183	250	1112
184	251	1107
185	251	1102
186	252	1097
187	252	1092
188	253	1087
189	253	1082
190	254	1077
191	254	1073
192	255	1068
193	256	1063
194	256	1058
195	257	1054
196	257	1049
197	258	1045
198	258	1041
199	259	1036
200	259	1032
201	260	1028
202	260	1023
203	261	1019
204	261	1015
205	262	1010
206	262	1006
207	263	1002
208	263	998
209	264	994
210	264	990
211	265	986
212	265	982
213	266	978
214	266	974
215	267	970
216	267	966
217	268	962
218	268	958
219	269	955
220	269	951
221	270	947
222	270	943
223	271	939
224	271	936
225	272	932
226	272	929
227	273	925
228	273	922
229	274	918
230	274	915
231	275	911
232	275	908
233	276	904
234	276	901
235	277	898
236	277	894
237	278	891
238	278	888
239	279	884
240	279	881
241	280	878
242	280	874
243	281	871
244	281	868
245	282	865
246	282	862
247	283	859
248	283	855
249	284	852
250	284	849
251	285	846
252	285	843
253	286	840
254	286	837
255	287	835
256	287	832
257	288	829
258	289	826
259	289	824
260	290	821
261	290	818
262	291	815
263	291	812
264	292	810
265	292	807
266	293	804
267	293	801
268	294	799
269	294	796
270	295	793
271	295	790
272	296	788
273	296	785
274	297	783
275	297	780
276	298	777
277	298	775
278	298	772
279	299	770
280	299	767
281	300	765
282	301	763
283	301	760
284	302	758
285	303	756
286	303	754
287	304	752
288	304	749
289	305	747
290	305	745
291	306	743
292	307	741
293	307	738
294	308	736
295	308	734
296	309	732
297	309	730
298	310	728
299	311	725
300	311	723
301	312	721
302	312	719
303	313	717
304	314	716
305	314	714
306	315	712
307	316	710
308	316	708
309	317	706
310	317	704
311	318	702
312	319	700
313	319	698
314	320	696
315	320	694
316	321	692
317	321	690
318	322	688
319	323	686
320	323	684
321	324	682
322	324	680
323	325	678
324	325	676
325	326	674
326	326	672
327	327	670
328	327	668
329	328	666
330	328	664
331	329	663
332	330	661
333	330	659
334	331	657
335	331	655
336	332	653
337	332	651
338	333	650
339	333	648
340	334	646
341	335	644
342	335	642
343	336	641
344	336	639
345	337	637
346	337	635
347	338	633
348	338	632
349	339	630
350	339	628
351	340	626
352	340	624
353	341	623
354	342	621
355	342	619
356	343	618
357	343	616
358	344	614
359	344	612
360	345	611
361	345	609
362	346	607
363	346	606
364	347	604
365	348	602
366	348	601
367	349	599
368	349	597
369	350	596
370	350	594
371	351	592
372	351	591
373	352	589
374	352	588
375	353	586
376	353	584
377	354	583
378	354	581
379	355	580
380	356	579
381	357	577
382	357	576
383	358	574
384	358	573
385	359	571
386	359	569
387	360	568
388	360	566
389	361	565
390	361	563
391	362	562
392	363	560
393	363	559
394	364	557
395	364	556
396	365	554
397	365	553
398	366	551
399	366	550
400	367	548
401	367	546
402	368	545
403	368	543
404	369	542
405	369	541
406	370	539
407	370	538
408	371	536
409	371	535
410	372	533
411	372	532
412	373	530
413	373	529
414	374	527
415	374	526
416	375	524
417	375	523
418	376	521
419	376	520
420	377	518
421	377	517
422	378	516
423	378	514
424	379	513
425	379	511
426	380	510
427	380	508
428	381	507
429	381	506
430	382	504
431	382	503
432	383	501
433	383	500
434	384	499
435	384	497
436	385	496
437	385	495
438	386	493
439	386	492
440	387	491
441	387	489
442	388	488
443	388	487
444	389	485
445	389	484
446	390	483
447	390	481
448	391	480
449	391	479
450	392	477
451	392	476
452	393	475
453	393	473
454	394	472
455	394	471
456	395	469
457	395	468
458	396	467
459	396	465
460	397	464
461	397	463
462	398	462
463	399	461
464	399	459
465	400	458
466	400	457
467	401	455
468	401	454
469	402	453
470	402	452
471	403	450
472	403	449
473	403	448
474	404	447
475	405	445
476	405	444
477	406	443
478	406	442
479	407	441
480	407	440
481	410	440
482	410	439
483	411	438
484	411	437
485	412	436
486	413	435
487	413	433
488	414	432
489	414	431
490	415	430
491	415	429
492	416	427
493	416	426
494	417	425
495	417	424
496	418	423
497	418	421
498	418	420
499	419	419
500	419	418
501	420	417
502	421	416
503	421	415
504	422	414
505	422	412
506	423	411
507	424	410
508	424	409
509	425	408
510	425	407
511	426	406
512	426	404
513	427	403
514	427	402
515	428	401
516	428	400
517	429	399
518	429	398
519	430	397
520	430	395
521	431	394
522	431	393
523	432	392
524	432	391
525	433	390
526	433	389
527	434	388
528	434	387
529	435	385
530	435	384
531	436	383
532	436	382
533	437	381
534	437	380
535	438	379
536	439	378
537	439	377
538	440	376
539	440	375
540	441	374
541	442	373
542	442	372
543	443	371
544	443	370
545	444	369
546	445	368
547	445	367
548	446	366
549	447	365
550	447	364
551	448	363
552	449	363
553	449	362
554	450	361
555	451	360
556	451	359
557	452	358
558	453	357
559	453	356
560	454	355
561	454	354
562	455	353
563	456	352
564	456	351
565	457	350
566	458	349
567	458	348
568	459	348
569	460	347
570	460	346
571	461	345
572	462	344
573	463	343
574	463	342
575	464	341
576	465	341
577	466	340
578	466	339
579	467	338
580	468	337
581	469	336
582	469	335
583	470	335
584	471	334
585	471	333
586	472	332
587	473	331
588	473	330
589	474	329
590	475	329
591	476	328
592	477	327
593	478	327
594	480	326
595	481	326
596	482	325
597	483	324
598	484	324
599	485	323
600	486	322
601	487	322
602	488	321
603	489	321
604	490	320
605	491	319
606	493	319
607	494	318
608	495	317
609	496	317
610	497	316
611	498	315
612	499	315
613	500	314
614	501	313
615	502	312
616	502	312
617	504	311
618	504	310
619	505	310
620	506	309
621	507	308
622	508	307
623	509	307
624	510	306
625	511	305
626	512	305
627	513	304
628	514	303
629	515	302
630	516	302
631	517	301
632	518	300
633	519	300
634	521	299
635	522	298
636	523	298
637	524	297
638	525	296
639	526	296
640	527	295
641	530	295
642	531	294
643	532	294
644	533	293
645	534	292
646	535	292
647	536	291
648	538	290
649	539	290
650	540	289
651	541	288
652	542	288
653	543	287
654	544	286
655	545	286
656	546	285
657	547	284
658	549	284
659	550	283
660	551	282
661	552	281
662	553	281
663	554	280
664	555	279
665	556	279
666	557	278
667	558	277
668	559	276
669	560	276
670	562	275
671	563	274
672	564	274
673	565	273
674	566	272
675	567	271
676	568	271
677	569	270
678	570	269
679	571	268
680	572	268
681	573	267
682	574	266
683	575	265
684	576	265
685	577	264
686	578	263
687	579	262
688	580	262
689	581	261
690	582	260
691	583	259
692	584	259
693	586	258
694	587	257
695	588	256
696	589	256
697	590	255
698	591	254
699	593	254
700	594	253
701	595	252
702	596	251
703	597	251
704	598	250
705	598	249
706	599	248
707	600	247
708	601	247
709	603	246
710	604	245
711	605	244
712	606	244
713	607	243
714	608	242
715	610	241
716	611	241
717	612	240
718	613	239
719	614	239
720	616	238
721	617	237
722	618	236
723	619	236
724	620	235
725	620	234
726	621	233
727	622	232
728	623	231
729	624	230
730	624	229
731	626	229
732	626	228
733	627	227
734	628	226
735	629	225
736	630	224
737	630	223
738	631	223
739	632	222
740	633	221
741	634	220
742	635	219
743	635	218
744	636	217
745	637	217
746	638	216
747	639	215
748	640	214
749	640	213
750	641	212
751	642	211
752	643	210
753	643	210
754	644	209
755	645	208
756	646	207
757	647	206
758	648	205
759	648	204
760	649	203
761	650	203
762	651	202
763	651	201
764	652	200
765	653	199
766	653	198
767	654	197
768	655	196
769	656	195
770	656	195
771	657	194
772	658	193
773	659	192
774	660	191
775	661	190
776	661	189
777	662	189
778	663	188
779	663	187
780	664	186
781	665	185
782	665	184
783	666	183
784	667	182
785	668	181
786	668	180
787	669	180
788	670	179
789	670	178
790	671	177
791	672	176
792	673	175
793	673	174
794	674	173
795	675	173
796	676	172
797	676	171
798	677	170
799	678	169
800	678	168
801	679	167
802	680	166
803	680	166
804	681	165
805	682	164
806	683	163
807	683	162
808	684	161
809	685	160
810	685	159
811	686	158
812	687	158
813	688	157
814	689	156
815	689	155
816	690	154
817	691	153
818	691	152
819	692	152
820	693	151
821	694	150
822	694	149
823	695	148
824	696	147
825	696	146
826	697	145
827	698	145
828	698	144
829	699	143
830	700	142
831	701	141
832	701	140
833	702	139
834	703	138
835	703	138
836	704	137
837	705	136
838	705	135
839	706	134
840	707	133
841	707	132
842	708	131
843	709	131
844	709	130
845	710	129
846	711	128
847	711	127
848	712	126
849	713	125
850	713	125
851	714	124
852	715	123
853	716	122
854	716	121
855	717	120
856	718	119
857	718	118
858	719	118
859	720	117
860	720	116
861	721	115
862	722	114
863	722	113
864	723	112
865	724	112
866	724	111
867	725	110
868	726	109
869	726	108
870	727	107
871	728	106
872	729	106
873	730	105
874	731	104
875	732	103
876	733	102
877	733	101
878	734	101
879	735	100
880	736	99
881	737	98
882	738	97
883	739	96
884	739	96
885	740	95
886	741	94
887	742	93
888	743	92
889	744	91
890	745	91
891	746	90
892	746	89
893	747	88
894	748	87
895	749	87
896	750	86
897	751	85
898	752	84
899	753	83
900	753	82
901	754	82
902	755	81
903	756	80
904	757	79
905	758	78
906	759	77
907	760	77
908	761	76
909	762	75
910	763	74
911	763	73
912	764	72
913	765	72
914	766	71
915	767	70
916	768	69
917	769	68
918	769	67
919	770	67
920	771	66
921	772	65
922	773	64
923	774	63
924	775	62
925	776	62
926	777	61
927	778	60
928	778	59
929	779	58
930	780	57
931	781	56
932	782	56
933	783	55
934	783	54
935	784	53
936	785	52
937	786	51
938	787	51
939	787	50
940	788	49
941	789	48
942	790	47
943	790	46
944	791	46
945	792	45
946	793	44
947	794	43
948	794	42
949	795	41
950	796	41
951	797	40
952	798	39
953	799	38
954	800	37
955	801	36
956	802	36
957	802	35
958	803	34
959	804	33
960	805	32
961	806	31
962	806	30
963	807	30
964	808	29
965	809	28
966	810	27
967	810	26
968	811	25
969	812	25
970	813	24
971	814	23
972	814	22
973	815	21
974	816	20
975	817	20
976	818	19
977	818	18
978	819	17
979	820	16
980	821	15
981	822	15
982	822	14
983	823	13
984	824	12
985	825	11
986	825	10
987	826	10
988	827	9
989	828	8
990	829	7
991	829	6
992	830	5
993	831	5
994	832	4
995	832	3
996	833	2
997	834	1
998	835	0
999	836	0
